manifest_id,cargo_id,declared_cargo_nature,manifest_error_flag,manifest_error_type,cargo_nature_missing_flag,manifest_observation
MAN00287,CGO00287,Valiosa,Não,,Não,
MAN00288,CGO00288,Perecível,Não,,Não,
MAN00289,CGO00289,Geral,Não,,Não,
MAN00290,CGO00290,Avariada,Não,,Não,
MAN00291,CGO00291,Geral,Não,,Não,
MAN00292,CGO00292,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00293,CGO00293,Geral,Não,,Não,
MAN00294,CGO00294,Pendente,Não,,Não,
MAN00295,CGO00295,Perecível,Não,,Não,
MAN00296,CGO00296,Avariada,Não,,Não,
MAN00297,CGO00297,Perecível,Não,,Não,
MAN00298,CGO00298,Pendente,Não,,Não,
MAN00299,CGO00299,Perecível,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00300,CGO00300,Geral,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00301,CGO00301,Refrigerada,Não,,Não,
MAN00302,CGO00302,Refrigerada,Não,,Não,
MAN00303,CGO00303,Refrigerada,Não,,Não,
MAN00304,CGO00304,Pendente,Não,,Não,
MAN00305,CGO00305,Valiosa,Não,,Não,
MAN00306,CGO00306,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00307,CGO00307,Perecível,Não,,Não,
MAN00308,CGO00308,Geral,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00309,CGO00309,Geral,Não,,Não,
MAN00310,CGO00310,Geral,Não,,Não,
MAN00311,CGO00311,Geral,Não,,Não,
MAN00312,CGO00312,Perecível,Não,,Não,
MAN00313,CGO00313,Refrigerada,Não,,Não,
MAN00314,CGO00314,DGR,Não,,Não,
MAN00315,CGO00315,Geral,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00316,CGO00316,Pendente,Não,,Não,
MAN00317,CGO00317,Avariada,Não,,Não,
MAN00318,CGO00318,Geral,Não,,Não,
MAN00319,CGO00319,DGR,Não,,Não,
MAN00320,CGO00320,Pendente,Não,,Não,
MAN00321,CGO00321,Avariada,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00322,CGO00322,Pendente,Não,,Não,
MAN00323,CGO00323,,Sim,AWB divergente,Sim,Informação ausente ou divergente no manifesto
MAN00324,CGO00324,Perecível,Não,,Não,
MAN00325,CGO00325,Geral,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00326,CGO00326,Perecível,Não,,Não,
MAN00327,CGO00327,,Sim,Divergência de volumes,Sim,Informação ausente ou divergente no manifesto
MAN00328,CGO00328,Perecível,Não,,Não,
MAN00329,CGO00329,Avariada,Não,,Não,
MAN00330,CGO00330,Geral,Não,,Não,
MAN00331,CGO00331,Avariada,Não,,Não,
MAN00332,CGO00332,Pendente,Não,,Não,
MAN00333,CGO00333,Pendente,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00334,CGO00334,Refrigerada,Não,,Não,
MAN00335,CGO00335,Geral,Não,,Não,
MAN00336,CGO00336,Avariada,Não,,Não,
MAN00337,CGO00337,Refrigerada,Não,,Não,
MAN00338,CGO00338,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00339,CGO00339,Perecível,Não,,Não,
MAN00340,CGO00340,Avariada,Não,,Não,
MAN00341,CGO00341,Geral,Não,,Não,
MAN00342,CGO00342,Refrigerada,Não,,Não,
MAN00343,CGO00343,DGR,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00344,CGO00344,DGR,Não,,Não,
MAN00345,CGO00345,Refrigerada,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00346,CGO00346,Geral,Não,,Não,
MAN00347,CGO00347,Perecível,Não,,Não,
MAN00348,CGO00348,Geral,Não,,Não,
MAN00349,CGO00349,Refrigerada,Não,,Não,
MAN00350,CGO00350,Geral,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00351,CGO00351,Refrigerada,Não,,Não,
MAN00352,CGO00352,Avariada,Não,,Não,
MAN00353,CGO00353,Geral,Não,,Não,
MAN00354,CGO00354,Pendente,Não,,Não,
MAN00355,CGO00355,Geral,Não,,Não,
MAN00356,CGO00356,DGR,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00357,CGO00357,Pendente,Não,,Não,
MAN00358,CGO00358,Geral,Não,,Não,
MAN00359,CGO00359,Geral,Não,,Não,
MAN00360,CGO00360,Pendente,Não,,Não,
MAN00361,CGO00361,Avariada,Não,,Não,
MAN00362,CGO00362,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00363,CGO00363,Geral,Não,,Não,
MAN00364,CGO00364,Pendente,Não,,Não,
MAN00365,CGO00365,Geral,Não,,Não,
MAN00366,CGO00366,Geral,Não,,Não,
MAN00367,CGO00367,Geral,Não,,Não,
MAN00368,CGO00368,Perecível,Não,,Não,
MAN00369,CGO00369,Perecível,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00370,CGO00370,Perecível,Não,,Não,
MAN00371,CGO00371,Pendente,Não,,Não,
MAN00372,CGO00372,Geral,Não,,Não,
MAN00373,CGO00373,Refrigerada,Não,,Não,
MAN00374,CGO00374,Geral,Não,,Não,
MAN00375,CGO00375,Geral,Não,,Não,
MAN00376,CGO00376,Geral,Não,,Não,
MAN00377,CGO00377,Geral,Não,,Não,
MAN00378,CGO00378,Geral,Não,,Não,
MAN00379,CGO00379,Pendente,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00380,CGO00380,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00381,CGO00381,,Sim,Erro de digitação,Sim,Informação ausente ou divergente no manifesto
MAN00382,CGO00382,Geral,Não,,Não,
MAN00383,CGO00383,Geral,Não,,Não,
MAN00384,CGO00384,Geral,Não,,Não,
MAN00385,CGO00385,Geral,Não,,Não,
MAN00386,CGO00386,Geral,Não,,Não,
MAN00387,CGO00387,Geral,Não,,Não,
MAN00388,CGO00388,Pendente,Não,,Não,
MAN00389,CGO00389,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00390,CGO00390,Geral,Não,,Não,
MAN00391,CGO00391,Avariada,Não,,Não,
MAN00392,CGO00392,Geral,Não,,Não,
MAN00393,CGO00393,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00394,CGO00394,Geral,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00395,CGO00395,Pendente,Não,,Não,
MAN00396,CGO00396,Geral,Não,,Não,
MAN00397,CGO00397,Avariada,Não,,Não,
MAN00398,CGO00398,Refrigerada,Não,,Não,
MAN00399,CGO00399,Pendente,Não,,Não,
MAN00400,CGO00400,Avariada,Não,,Não,
MAN00401,CGO00401,Geral,Não,,Não,
MAN00402,CGO00402,Refrigerada,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00403,CGO00403,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00404,CGO00404,Geral,Não,,Não,
MAN00405,CGO00405,Geral,Não,,Não,
MAN00406,CGO00406,Geral,Não,,Não,
MAN00407,CGO00407,Geral,Não,,Não,
MAN00408,CGO00408,Pendente,Não,,Não,
MAN00409,CGO00409,Perecível,Não,,Não,
MAN00410,CGO00410,Valiosa,Não,,Não,
MAN00411,CGO00411,,Sim,AWB divergente,Sim,Informação ausente ou divergente no manifesto
MAN00412,CGO00412,Geral,Não,,Não,
MAN00413,CGO00413,Geral,Não,,Não,
MAN00414,CGO00414,Geral,Não,,Não,
MAN00415,CGO00415,,Sim,Erro de digitação,Sim,Informação ausente ou divergente no manifesto
MAN00416,CGO00416,Pendente,Não,,Não,
MAN00417,CGO00417,Geral,Não,,Não,
MAN00418,CGO00418,Geral,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00419,CGO00419,Pendente,Não,,Não,
MAN00420,CGO00420,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00421,CGO00421,DGR,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00422,CGO00422,Geral,Não,,Não,
MAN00423,CGO00423,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00424,CGO00424,DGR,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00425,CGO00425,Geral,Não,,Não,
MAN00426,CGO00426,Geral,Não,,Não,
MAN00427,CGO00427,,Sim,Descrição incompleta,Sim,Informação ausente ou divergente no manifesto
MAN00428,CGO00428,Geral,Não,,Não,
MAN00429,CGO00429,Refrigerada,Não,,Não,
MAN00430,CGO00430,Refrigerada,Não,,Não,
MAN00431,CGO00431,Refrigerada,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00432,CGO00432,Geral,Não,,Não,
MAN00433,CGO00433,Geral,Não,,Não,
MAN00434,CGO00434,DGR,Não,,Não,
MAN00435,CGO00435,Geral,Não,,Não,
MAN00436,CGO00436,Pendente,Não,,Não,
MAN00437,CGO00437,Geral,Não,,Não,
MAN00438,CGO00438,Pendente,Não,,Não,
MAN00439,CGO00439,,Sim,Divergência de volumes,Sim,Informação ausente ou divergente no manifesto
MAN00440,CGO00440,Geral,Não,,Não,
MAN00441,CGO00441,Refrigerada,Não,,Não,
MAN00442,CGO00442,Pendente,Não,,Não,
MAN00443,CGO00443,Geral,Não,,Não,
MAN00444,CGO00444,Geral,Não,,Não,
MAN00445,CGO00445,Geral,Não,,Não,
MAN00446,CGO00446,Valiosa,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00447,CGO00447,Refrigerada,Não,,Não,
MAN00448,CGO00448,Geral,Não,,Não,
MAN00449,CGO00449,Valiosa,Não,,Não,
MAN00450,CGO00450,Geral,Não,,Não,
MAN00451,CGO00451,Refrigerada,Não,,Não,
MAN00452,CGO00452,Refrigerada,Não,,Não,
MAN00453,CGO00453,Geral,Não,,Não,
MAN00454,CGO00454,Geral,Não,,Não,
MAN00455,CGO00455,Refrigerada,Não,,Não,
MAN00456,CGO00456,Geral,Não,,Não,
MAN00457,CGO00457,Avariada,Não,,Não,
MAN00458,CGO00458,DGR,Não,,Não,
MAN00459,CGO00459,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00460,CGO00460,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00461,CGO00461,DGR,Não,,Não,
MAN00462,CGO00462,Valiosa,Não,,Não,
MAN00463,CGO00463,DGR,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00464,CGO00464,DGR,Não,,Não,
MAN00465,CGO00465,Pendente,Não,,Não,
