release_id,cargo_id,customs_release_required,customs_release_datetime,anuence_required,anuence_agency,anuence_release_datetime,release_status,release_delay_reason,release_responsibility_group
REL00121,CGO00121,Não,2026-03-12 09:07,Não,Não aplicável,,Liberada,,Sem atraso
REL00122,CGO00122,Não,2026-03-13 06:36,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00123,CGO00123,Sim,2026-03-12 18:46,Não,Não aplicável,,Liberada,,Sem atraso
REL00124,CGO00124,Sim,2026-03-12 20:10,Sim,Ibama,2026-03-15 12:17,Liberada,Aguardando anuência,Órgão anuente
REL00125,CGO00125,Sim,2026-03-14 02:46,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00126,CGO00126,Não,2026-03-12 00:11,Não,Não aplicável,,Liberada,,Sem atraso
REL00127,CGO00127,Sim,2026-03-12 00:43,Não,Não aplicável,,Liberada,,Sem atraso
REL00128,CGO00128,Sim,2026-03-13 15:20,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00129,CGO00129,Sim,2026-03-16 05:02,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00130,CGO00130,Sim,2026-01-19 20:43,Sim,Inmetro,2026-01-20 02:51,Liberada,Aguardando anuência,Órgão anuente
REL00131,CGO00131,Não,2026-01-19 18:45,Sim,Ibama,2026-01-22 10:18,Liberada,Aguardando anuência,Órgão anuente
REL00132,CGO00132,Sim,2026-01-20 19:39,Não,Não aplicável,,Liberada,,Sem atraso
REL00133,CGO00133,Sim,2026-01-19 22:00,Não,Não aplicável,,Liberada,,Sem atraso
REL00134,CGO00134,Sim,2026-01-20 03:43,Não,Não aplicável,,Liberada,,Sem atraso
REL00135,CGO00135,Sim,2026-01-21 05:25,Não,Não aplicável,,Liberada,,Sem atraso
REL00136,CGO00136,Não,2026-01-19 18:52,Sim,Ministério da Agricultura,2026-01-21 18:24,Liberada,,Sem atraso
REL00137,CGO00137,Sim,2026-01-20 22:53,Sim,Ibama,2026-01-21 08:58,Liberada,Aguardando anuência,Órgão anuente
REL00138,CGO00138,Sim,2026-01-21 03:08,Não,Não aplicável,,Liberada,,Sem atraso
REL00139,CGO00139,Sim,2026-01-21 06:08,Não,Não aplicável,,Liberada,,Sem atraso
REL00140,CGO00140,Sim,2026-02-10 05:11,Sim,Inmetro,2026-02-11 01:07,Liberada,,Sem atraso
REL00141,CGO00141,Não,2026-02-09 02:09,Não,Não aplicável,,Liberada,,Sem atraso
REL00142,CGO00142,Sim,2026-02-09 11:25,Não,Não aplicável,,Liberada,,Sem atraso
REL00143,CGO00143,Sim,2026-02-10 04:35,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00144,CGO00144,Sim,2026-02-10 19:20,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00145,CGO00145,Sim,2026-02-10 04:43,Sim,Ibama,2026-02-12 23:34,Liberada,Aguardando anuência,Órgão anuente
REL00146,CGO00146,Sim,2026-02-10 03:23,Não,Não aplicável,,Liberada,,Sem atraso
REL00147,CGO00147,Não,2026-02-09 00:55,Não,Não aplicável,,Liberada,,Sem atraso
REL00148,CGO00148,Sim,2026-02-10 07:25,Não,Não aplicável,,Liberada,,Sem atraso
REL00149,CGO00149,Sim,2026-01-23 10:23,Não,Não aplicável,,Liberada,,Sem atraso
REL00150,CGO00150,Sim,2026-01-23 06:38,Não,Não aplicável,,Liberada,,Sem atraso
REL00151,CGO00151,Sim,2026-01-23 13:33,Não,Não aplicável,,Liberada,,Sem atraso
REL00152,CGO00152,Sim,2026-01-23 04:51,Sim,Ministério da Agricultura,2026-01-25 12:03,Liberada,,Sem atraso
REL00153,CGO00153,Sim,2026-01-22 20:45,Não,Não aplicável,,Liberada,,Sem atraso
REL00154,CGO00154,Sim,2026-01-22 08:40,Não,Não aplicável,,Liberada,,Sem atraso
REL00155,CGO00155,Sim,2026-01-23 17:09,Não,Não aplicável,,Liberada,,Sem atraso
REL00156,CGO00156,Não,2026-02-06 18:07,Sim,Ministério da Agricultura,2026-02-07 05:26,Liberada,Aguardando anuência,Órgão anuente
REL00157,CGO00157,Sim,2026-02-07 23:21,Não,Não aplicável,,Liberada,,Sem atraso
REL00158,CGO00158,Sim,2026-02-06 21:52,Não,Não aplicável,,Liberada,,Sem atraso
REL00159,CGO00159,Sim,2026-02-07 13:53,Não,Não aplicável,,Liberada,,Sem atraso
REL00160,CGO00160,Sim,2026-02-07 01:35,Não,Não aplicável,,Liberada,,Sem atraso
REL00161,CGO00161,Sim,2026-02-08 02:35,Não,Não aplicável,,Liberada,,Sem atraso
REL00162,CGO00162,Não,2026-03-20 04:49,Sim,Exército,2026-03-20 17:23,Liberada,Aguardando anuência,Órgão anuente
REL00163,CGO00163,Sim,2026-03-20 16:36,Não,Não aplicável,,Liberada,,Sem atraso
REL00164,CGO00164,Sim,2026-03-20 09:35,Sim,Ministério da Agricultura,2026-03-20 18:33,Liberada,Aguardando anuência,Órgão anuente
REL00165,CGO00165,Sim,2026-03-20 07:01,Não,Não aplicável,,Liberada,,Sem atraso
REL00166,CGO00166,Sim,2026-03-23 12:14,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00167,CGO00167,Sim,2026-03-21 04:48,Sim,Inmetro,2026-03-21 11:42,Liberada,Aguardando anuência,Órgão anuente
REL00168,CGO00168,Sim,2026-03-20 20:12,Não,Não aplicável,,Liberada,,Sem atraso
REL00169,CGO00169,Sim,2026-03-20 03:58,Não,Não aplicável,,Liberada,,Sem atraso
REL00170,CGO00170,Sim,2026-03-21 17:26,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00171,CGO00171,Sim,2026-04-02 16:02,Não,Não aplicável,,Liberada,,Sem atraso
REL00172,CGO00172,Sim,2026-04-01 20:09,Não,Não aplicável,,Liberada,,Sem atraso
REL00173,CGO00173,Sim,2026-04-03 03:18,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00174,CGO00174,Sim,2026-04-02 13:57,Sim,Ministério da Agricultura,2026-04-04 21:07,Liberada,Aguardando anuência,Órgão anuente
REL00175,CGO00175,Sim,2026-04-03 03:20,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00176,CGO00176,Sim,2026-04-02 17:51,Não,Não aplicável,,Liberada,,Sem atraso
REL00177,CGO00177,Sim,2026-04-02 01:41,Não,Não aplicável,,Liberada,,Sem atraso
REL00178,CGO00178,Sim,2026-01-11 04:39,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00179,CGO00179,Sim,2026-01-09 03:02,Não,Não aplicável,,Liberada,,Sem atraso
REL00180,CGO00180,Sim,2026-01-10 13:30,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00181,CGO00181,Sim,2026-01-09 22:33,Não,Não aplicável,,Liberada,,Sem atraso
REL00182,CGO00182,Não,2026-01-09 02:40,Não,Não aplicável,,Liberada,,Sem atraso
REL00183,CGO00183,Sim,2026-01-10 05:53,Não,Não aplicável,,Liberada,,Sem atraso
REL00184,CGO00184,Sim,2026-01-10 05:28,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00185,CGO00185,Sim,2026-01-10 01:12,Não,Não aplicável,,Liberada,,Sem atraso
REL00186,CGO00186,Sim,2026-02-08 12:21,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00187,CGO00187,Sim,2026-02-08 08:36,Não,Não aplicável,,Liberada,,Sem atraso
REL00188,CGO00188,Sim,2026-02-08 16:00,Não,Não aplicável,,Liberada,,Sem atraso
REL00189,CGO00189,Sim,2026-02-10 21:08,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00190,CGO00190,Sim,2026-02-08 02:48,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00191,CGO00191,Sim,2026-02-07 05:46,Sim,Ibama,2026-02-07 22:20,Liberada,Aguardando anuência,Órgão anuente
REL00192,CGO00192,Sim,2026-02-07 15:55,Não,Não aplicável,,Liberada,,Sem atraso
REL00193,CGO00193,Sim,2026-02-06 14:35,Sim,Exército,2026-02-08 22:21,Liberada,Aguardando anuência,Órgão anuente
REL00194,CGO00194,Sim,2026-02-07 05:46,Sim,Exército,2026-02-09 19:17,Liberada,Aguardando anuência,Órgão anuente
REL00195,CGO00195,Sim,2026-02-06 03:24,Sim,Inmetro,2026-02-07 13:22,Liberada,,Sem atraso
REL00196,CGO00196,Sim,2026-02-05 21:54,Sim,Exército,2026-02-06 00:31,Liberada,,Sem atraso
REL00197,CGO00197,Não,2026-02-05 21:56,Não,Não aplicável,,Liberada,,Sem atraso
REL00198,CGO00198,Sim,2026-02-07 06:23,Não,Não aplicável,,Liberada,,Sem atraso
REL00199,CGO00199,Sim,2026-02-07 01:34,Não,Não aplicável,,Liberada,,Sem atraso
REL00200,CGO00200,Não,2026-02-05 22:10,Não,Não aplicável,,Liberada,,Sem atraso
REL00201,CGO00201,Sim,2026-02-07 06:02,Não,Não aplicável,,Liberada,,Sem atraso
REL00202,CGO00202,Sim,2026-02-05 22:44,Não,Não aplicável,,Liberada,,Sem atraso
REL00203,CGO00203,Sim,2026-02-07 05:22,Sim,Inmetro,2026-02-09 01:52,Liberada,Aguardando anuência,Órgão anuente
REL00204,CGO00204,Não,2026-01-01 20:15,Sim,Ministério da Agricultura,2026-01-02 04:56,Liberada,Aguardando anuência,Órgão anuente
REL00205,CGO00205,Sim,2026-01-03 04:38,Sim,Exército,2026-01-05 06:50,Liberada,Aguardando anuência,Órgão anuente
REL00206,CGO00206,Sim,2026-01-02 23:53,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00207,CGO00207,Sim,2026-01-02 13:08,Não,Não aplicável,,Liberada,,Sem atraso
REL00208,CGO00208,Sim,2026-01-02 08:50,Sim,Ministério da Agricultura,2026-01-03 18:38,Liberada,Aguardando anuência,Órgão anuente
REL00209,CGO00209,Não,2026-01-01 20:37,Não,Não aplicável,,Liberada,,Sem atraso
REL00210,CGO00210,Sim,2026-01-02 18:46,Não,Não aplicável,,Liberada,,Sem atraso
REL00211,CGO00211,Sim,2026-01-02 10:41,Não,Não aplicável,,Liberada,,Sem atraso
REL00212,CGO00212,Sim,2026-01-04 07:00,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00213,CGO00213,Sim,2026-01-04 19:12,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00214,CGO00214,Sim,2026-01-03 05:54,Sim,Ibama,2026-01-05 09:58,Liberada,Aguardando anuência,Órgão anuente
REL00215,CGO00215,Sim,2026-01-02 22:21,Não,Não aplicável,,Liberada,,Sem atraso
REL00216,CGO00216,Sim,2026-01-02 19:42,Não,Não aplicável,,Liberada,,Sem atraso
REL00217,CGO00217,Não,2026-03-09 07:49,Sim,Anvisa,2026-03-11 05:21,Liberada,Aguardando anuência,Órgão anuente
REL00218,CGO00218,Sim,2026-03-10 09:43,Não,Não aplicável,,Liberada,,Sem atraso
REL00219,CGO00219,Sim,2026-03-10 01:18,Não,Não aplicável,,Liberada,,Sem atraso
REL00220,CGO00220,Sim,2026-03-10 00:10,Não,Não aplicável,,Liberada,,Sem atraso
REL00221,CGO00221,Sim,2026-03-09 21:40,Não,Não aplicável,,Liberada,,Sem atraso
REL00222,CGO00222,Não,2026-03-09 10:01,Sim,Anvisa,2026-03-12 01:34,Liberada,,Sem atraso
REL00223,CGO00223,Sim,2026-03-09 18:23,Não,Não aplicável,,Liberada,,Sem atraso
REL00224,CGO00224,Sim,2026-03-09 08:38,Não,Não aplicável,,Liberada,,Sem atraso
REL00225,CGO00225,Sim,2026-03-10 18:11,Sim,Ibama,2026-03-11 04:58,Liberada,Aguardando anuência,Órgão anuente
REL00226,CGO00226,Sim,2026-03-10 14:52,Não,Não aplicável,,Liberada,,Sem atraso
REL00227,CGO00227,Sim,2026-03-10 06:25,Não,Não aplicável,,Liberada,,Sem atraso
REL00228,CGO00228,Sim,2026-02-10 00:31,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00229,CGO00229,Sim,2026-02-07 19:39,Não,Não aplicável,,Liberada,,Sem atraso
REL00230,CGO00230,Sim,2026-02-06 18:53,Não,Não aplicável,,Liberada,,Sem atraso
REL00231,CGO00231,Sim,2026-02-07 12:18,Não,Não aplicável,,Liberada,,Sem atraso
REL00232,CGO00232,Sim,2026-02-07 13:35,Sim,Inmetro,2026-02-10 13:05,Liberada,Aguardando anuência,Órgão anuente
REL00233,CGO00233,Sim,2026-03-14 08:59,Não,Não aplicável,,Liberada,,Sem atraso
REL00234,CGO00234,Sim,2026-03-13 07:59,Não,Não aplicável,,Liberada,,Sem atraso
REL00235,CGO00235,Sim,2026-03-13 09:07,Não,Não aplicável,,Liberada,,Sem atraso
REL00236,CGO00236,Não,2026-03-12 21:54,Não,Não aplicável,,Liberada,,Sem atraso
REL00237,CGO00237,Sim,2026-03-13 00:25,Sim,Ministério da Agricultura,2026-03-15 03:20,Liberada,Aguardando anuência,Órgão anuente
REL00238,CGO00238,Sim,2026-03-13 10:01,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00239,CGO00239,Sim,2026-03-14 00:29,Não,Não aplicável,,Liberada,,Sem atraso
REL00240,CGO00240,Sim,2026-03-14 05:11,Sim,Anvisa,2026-03-16 12:13,Liberada,,Sem atraso
REL00241,CGO00241,Sim,2026-03-13 00:00,Não,Não aplicável,,Liberada,,Sem atraso
REL00242,CGO00242,Sim,2026-03-13 09:44,Não,Não aplicável,,Liberada,,Sem atraso
REL00243,CGO00243,Sim,2026-03-13 10:03,Sim,Ministério da Agricultura,2026-03-13 23:38,Liberada,Aguardando anuência,Órgão anuente
REL00244,CGO00244,Sim,2026-03-14 00:17,Não,Não aplicável,,Liberada,,Sem atraso
REL00245,CGO00245,Sim,2026-03-13 02:09,Não,Não aplicável,,Liberada,,Sem atraso
REL00246,CGO00246,Sim,2026-03-13 14:40,Não,Não aplicável,,Liberada,,Sem atraso
REL00247,CGO00247,Sim,2026-03-30 22:26,Não,Não aplicável,,Liberada,,Sem atraso
REL00248,CGO00248,Sim,2026-03-31 04:35,Sim,Inmetro,2026-03-31 14:00,Liberada,,Sem atraso
