inconsistency_id,cargo_id,inconsistency_type,inconsistency_description,detected_datetime,resolved_datetime,rework_flag,rework_type,responsibility_group,controllability_level
INC00049,CGO00139,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-01-19 10:05,2026-01-19 15:40,Sim,Retorno para conferência,Importador / despachante,Não controlável
INC00050,CGO00139,Indício de furto,Ocorrência simulada: Indício de furto,2026-01-19 10:26,2026-01-19 14:14,Não,,Companhia aérea,Parcialmente controlável
INC00051,CGO00150,AWB divergente,Ocorrência simulada: AWB divergente,2026-01-21 21:11,2026-01-22 00:41,Não,,Aeroporto / fiel depositário,Controlável
INC00052,CGO00151,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-01-21 21:46,2026-01-21 23:41,Sim,Repesagem,Causa mista,Não controlável
INC00053,CGO00153,Erro de manifesto,Ocorrência simulada: Erro de manifesto,2026-01-21 21:58,2026-01-22 03:07,Sim,Correção de identificação,Causa mista,Não controlável
INC00054,CGO00153,Carga sem identificação,Ocorrência simulada: Carga sem identificação,2026-01-21 21:32,2026-01-22 01:52,Sim,Recontagem,Companhia aérea,Parcialmente controlável
INC00055,CGO00154,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-21 20:42,2026-01-21 23:40,Sim,Tratamento de DSIC,Companhia aérea,Parcialmente controlável
INC00056,CGO00159,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-02-06 08:55,2026-02-06 10:32,Sim,Repesagem,Causa mista,Não controlável
INC00057,CGO00159,Indício de furto,Ocorrência simulada: Indício de furto,2026-02-06 08:34,2026-02-06 09:56,Sim,Retorno para conferência,Companhia aérea,Não controlável
INC00058,CGO00162,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-19 18:23,2026-03-19 22:28,Sim,Repesagem,Órgão anuente,Parcialmente controlável
INC00059,CGO00163,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-03-19 19:05,2026-03-19 22:13,Sim,Repesagem,Companhia aérea,Parcialmente controlável
INC00060,CGO00164,DSIC,Ocorrência simulada: DSIC,2026-03-19 17:30,2026-03-19 18:06,Não,,Causa mista,Não controlável
INC00061,CGO00166,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-19 18:11,2026-03-19 18:42,Sim,Recontagem,Companhia aérea,Não controlável
INC00062,CGO00170,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-03-19 19:00,2026-03-19 20:00,Não,,Órgão anuente,Parcialmente controlável
INC00063,CGO00173,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-31 22:06,2026-03-31 23:51,Sim,Repesagem,Companhia aérea,Não controlável
INC00064,CGO00174,Carga sem identificação,Ocorrência simulada: Carga sem identificação,2026-03-31 21:30,2026-03-31 23:06,Sim,Correção de identificação,Companhia aérea,Não controlável
INC00065,CGO00175,DSIC,Ocorrência simulada: DSIC,2026-03-31 20:58,2026-04-01 01:42,Sim,Correção de identificação,Companhia aérea,Parcialmente controlável
INC00066,CGO00176,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-31 22:34,2026-04-01 01:11,Sim,Tratamento de DSIC,Causa mista,Não controlável
INC00067,CGO00177,Avaria,Ocorrência simulada: Avaria,2026-03-31 20:52,2026-04-01 00:25,Não,,Companhia aérea,Parcialmente controlável
INC00068,CGO00178,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-01-08 17:44,2026-01-08 20:52,Sim,Recontagem,Causa mista,Parcialmente controlável
INC00069,CGO00181,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-01-08 17:32,2026-01-08 19:35,Sim,Tratamento de DSIC,Aeroporto / fiel depositário,Não controlável
INC00070,CGO00184,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-01-08 15:54,2026-01-08 17:02,Sim,Recontagem,Companhia aérea,Não controlável
INC00071,CGO00186,Avaria,Ocorrência simulada: Avaria,2026-02-06 18:48,2026-02-06 21:55,Não,,Companhia aérea,Parcialmente controlável
INC00072,CGO00190,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-02-06 18:54,2026-02-07 00:08,Sim,Retorno para conferência,Companhia aérea,Não controlável
INC00073,CGO00191,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-02-06 19:41,2026-02-06 23:07,Não,,Causa mista,Parcialmente controlável
INC00074,CGO00192,Avaria,Ocorrência simulada: Avaria,2026-02-06 19:07,2026-02-06 22:12,Sim,Correção de identificação,Aeroporto / fiel depositário,Controlável
INC00075,CGO00194,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-02-05 09:48,2026-02-05 13:28,Sim,Correção de identificação,Companhia aérea,Não controlável
INC00076,CGO00197,Violação,Ocorrência simulada: Violação,2026-02-05 10:02,2026-02-05 15:43,Sim,Recontagem,Causa mista,Não controlável
INC00077,CGO00200,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-02-05 10:40,2026-02-05 11:55,Sim,Repesagem,Companhia aérea,Não controlável
INC00078,CGO00206,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-01-01 11:17,2026-01-01 12:11,Não,,Aeroporto / fiel depositário,Controlável
INC00079,CGO00207,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-01-01 11:12,2026-01-01 15:16,Não,,Causa mista,Não controlável
INC00080,CGO00208,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-01 11:05,2026-01-01 11:36,Sim,Recontagem,Causa mista,Parcialmente controlável
INC00081,CGO00209,DSIC,Ocorrência simulada: DSIC,2026-01-01 11:45,2026-01-01 15:53,Não,,Causa mista,Parcialmente controlável
INC00082,CGO00210,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-01 11:30,2026-01-01 12:57,Sim,Recontagem,Causa mista,Parcialmente controlável
INC00083,CGO00211,DSIC,Ocorrência simulada: DSIC,2026-01-01 12:10,2026-01-01 12:46,Não,,Companhia aérea,Parcialmente controlável
INC00084,CGO00218,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-08 21:11,2026-03-09 02:37,Sim,Repesagem,Transportadora / cliente,Não controlável
INC00085,CGO00219,Erro de manifesto,Ocorrência simulada: Erro de manifesto,2026-03-08 21:07,2026-03-09 03:00,Sim,Repesagem,Causa mista,Parcialmente controlável
INC00086,CGO00221,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-08 20:39,2026-03-08 23:40,Sim,Tratamento de DSIC,Companhia aérea,Não controlável
INC00087,CGO00222,Indício de furto,Ocorrência simulada: Indício de furto,2026-03-08 22:39,2026-03-08 23:36,Sim,Retorno para conferência,Causa mista,Parcialmente controlável
INC00088,CGO00228,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-02-06 09:58,2026-02-06 11:21,Sim,Correção de identificação,Companhia aérea,Controlável
INC00089,CGO00232,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-02-06 11:05,2026-02-06 12:57,Sim,Tratamento de DSIC,Causa mista,Não controlável
INC00090,CGO00234,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-12 12:00,2026-03-12 16:18,Sim,Retorno para conferência,Companhia aérea,Não controlável
INC00091,CGO00242,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-12 12:56,2026-03-12 17:50,Não,,Companhia aérea,Parcialmente controlável
INC00092,CGO00243,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-12 12:02,2026-03-12 15:27,Não,,Aeroporto / fiel depositário,Parcialmente controlável
INC00093,CGO00244,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-12 11:42,2026-03-12 16:48,Não,,Companhia aérea,Controlável
INC00094,CGO00244,Indício de furto,Ocorrência simulada: Indício de furto,2026-03-12 11:27,2026-03-12 12:19,Não,,Causa mista,Parcialmente controlável
INC00095,CGO00247,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-29 22:57,2026-03-30 02:52,Não,,Companhia aérea,Não controlável
INC00096,CGO00248,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-29 23:15,2026-03-30 05:12,Sim,Recontagem,Causa mista,Não controlável
INC00097,CGO00253,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-29 21:43,2026-03-30 03:06,Sim,Repesagem,Companhia aérea,Não controlável
INC00098,CGO00256,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-03-29 21:45,2026-03-29 22:21,Não,,Transportadora / cliente,Parcialmente controlável
INC00099,CGO00259,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-12 17:02,2026-03-12 18:21,Sim,Retorno para conferência,Companhia aérea,Não controlável
INC00100,CGO00263,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-12 17:25,2026-03-12 18:27,Não,,Companhia aérea,Não controlável
INC00101,CGO00266,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-01-11 11:47,2026-01-11 16:50,Sim,Correção de identificação,Causa mista,Parcialmente controlável
INC00102,CGO00269,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-11 12:28,2026-01-11 13:05,Sim,Retorno para conferência,Companhia aérea,Não controlável
INC00103,CGO00273,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-23 08:06,2026-03-23 12:45,Sim,Tratamento de DSIC,Companhia aérea,Não controlável
INC00104,CGO00275,Indício de furto,Ocorrência simulada: Indício de furto,2026-03-23 08:49,2026-03-23 14:36,Não,,Causa mista,Controlável
INC00105,CGO00276,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-23 08:15,2026-03-23 10:16,Não,,Receita Federal,Controlável
INC00106,CGO00278,Erro de manifesto,Ocorrência simulada: Erro de manifesto,2026-03-23 07:44,2026-03-23 12:46,Sim,Repesagem,Companhia aérea,Não controlável
INC00107,CGO00283,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-02-11 02:55,2026-02-11 06:58,Não,,Causa mista,Parcialmente controlável
INC00108,CGO00285,DSIC,Ocorrência simulada: DSIC,2026-02-11 02:19,2026-02-11 06:13,Sim,Repesagem,Causa mista,Parcialmente controlável
INC00109,CGO00287,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-02-11 03:40,2026-02-11 05:07,Não,,Causa mista,Não controlável
INC00110,CGO00292,AWB divergente,Ocorrência simulada: AWB divergente,2026-02-11 02:22,2026-02-11 03:36,Não,,Transportadora / cliente,Não controlável
INC00111,CGO00293,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-02-11 04:03,2026-02-11 05:43,Sim,Tratamento de DSIC,Causa mista,Não controlável
INC00112,CGO00294,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-02-10 12:56,2026-02-10 18:16,Sim,Tratamento de DSIC,Causa mista,Parcialmente controlável
INC00113,CGO00295,DSIC,Ocorrência simulada: DSIC,2026-02-10 12:35,2026-02-10 16:36,Sim,Repesagem,Causa mista,Não controlável
INC00114,CGO00299,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-03-17 09:06,2026-03-17 12:41,Sim,Correção de identificação,Companhia aérea,Parcialmente controlável
INC00115,CGO00299,Erro de manifesto,Ocorrência simulada: Erro de manifesto,2026-03-17 09:01,2026-03-17 12:45,Sim,Repesagem,Companhia aérea,Parcialmente controlável
INC00116,CGO00300,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-17 08:42,2026-03-17 14:23,Não,,Transportadora / cliente,Não controlável
INC00117,CGO00301,Violação,Ocorrência simulada: Violação,2026-03-17 09:26,2026-03-17 14:51,Não,,Companhia aérea,Controlável
INC00118,CGO00302,Violação,Ocorrência simulada: Violação,2026-03-17 08:41,2026-03-17 13:52,Sim,Correção de identificação,Aeroporto / fiel depositário,Controlável
INC00119,CGO00306,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-17 08:31,2026-03-17 11:50,Não,,Companhia aérea,Não controlável
INC00120,CGO00308,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-03-17 09:16,2026-03-17 12:27,Não,,Aeroporto / fiel depositário,Controlável
INC00121,CGO00312,Violação,Ocorrência simulada: Violação,2026-03-01 10:18,2026-03-01 11:54,Sim,Recontagem,Causa mista,Parcialmente controlável
INC00122,CGO00315,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-01 10:24,2026-03-01 15:38,Sim,Retorno para conferência,Companhia aérea,Controlável
INC00123,CGO00321,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-02-21 20:38,2026-02-22 00:51,Não,,Órgão anuente,Não controlável
INC00124,CGO00323,AWB divergente,Ocorrência simulada: AWB divergente,2026-02-21 23:12,2026-02-22 04:11,Não,,Companhia aérea,Controlável
INC00125,CGO00325,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-02-21 22:14,2026-02-21 23:10,Não,,Aeroporto / fiel depositário,Controlável
INC00126,CGO00327,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-02-21 23:44,2026-02-22 05:09,Não,,Causa mista,Não controlável
INC00127,CGO00330,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-02-11 01:03,2026-02-11 01:50,Sim,Recontagem,Causa mista,Parcialmente controlável
INC00128,CGO00333,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-02-11 02:19,2026-02-11 08:18,Sim,Correção de identificação,Causa mista,Não controlável
INC00129,CGO00333,Avaria,Ocorrência simulada: Avaria,2026-02-11 01:44,2026-02-11 02:50,Sim,Retorno para conferência,Companhia aérea,Controlável
INC00130,CGO00338,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-02-11 01:43,2026-02-11 06:07,Não,,Companhia aérea,Não controlável
INC00131,CGO00339,DSIC,Ocorrência simulada: DSIC,2026-02-11 01:57,2026-02-11 07:39,Sim,Tratamento de DSIC,Causa mista,Não controlável
INC00132,CGO00341,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-02-11 01:32,2026-02-11 06:11,Sim,Recontagem,Aeroporto / fiel depositário,Controlável
INC00133,CGO00341,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-02-11 01:57,2026-02-11 06:30,Não,,Companhia aérea,Parcialmente controlável
INC00134,CGO00343,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-12 01:07,2026-03-12 02:03,Não,,Causa mista,Não controlável
INC00135,CGO00345,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-12 01:13,2026-03-12 04:01,Sim,Repesagem,Órgão anuente,Não controlável
INC00136,CGO00350,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-12 03:46,2026-03-12 08:47,Sim,Correção de identificação,Companhia aérea,Parcialmente controlável
INC00137,CGO00350,Avaria,Ocorrência simulada: Avaria,2026-03-12 03:59,2026-03-12 09:23,Não,,Causa mista,Não controlável
INC00138,CGO00351,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-01-07 13:02,2026-01-07 16:16,Sim,Retorno para conferência,Causa mista,Controlável
INC00139,CGO00354,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-07 13:08,2026-01-07 16:33,Não,,Causa mista,Parcialmente controlável
INC00140,CGO00356,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-01-07 11:41,2026-01-07 15:56,Sim,Repesagem,Importador / despachante,Não controlável
INC00141,CGO00356,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-07 11:55,2026-01-07 13:40,Sim,Tratamento de DSIC,Companhia aérea,Parcialmente controlável
INC00142,CGO00362,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-02-14 21:02,2026-02-14 23:14,Sim,Correção de identificação,Companhia aérea,Não controlável
INC00143,CGO00369,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-02-14 20:57,2026-02-14 22:32,Não,,Causa mista,Controlável
INC00144,CGO00369,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-02-14 20:51,2026-02-14 23:08,Sim,Recontagem,Companhia aérea,Parcialmente controlável
INC00145,CGO00370,Carga sem identificação,Ocorrência simulada: Carga sem identificação,2026-02-14 20:13,2026-02-14 23:42,Sim,Repesagem,Companhia aérea,Não controlável
INC00146,CGO00370,Avaria,Ocorrência simulada: Avaria,2026-02-14 20:24,2026-02-14 22:16,Não,,Causa mista,Parcialmente controlável
INC00147,CGO00376,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-02-07 02:46,2026-02-07 08:37,Não,,Companhia aérea,Não controlável
INC00148,CGO00379,AWB divergente,Ocorrência simulada: AWB divergente,2026-02-07 03:50,2026-02-07 08:20,Sim,Repesagem,Companhia aérea,Não controlável
INC00149,CGO00380,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-02-07 03:10,2026-02-07 07:19,Sim,Retorno para conferência,Companhia aérea,Não controlável
INC00150,CGO00381,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-02-07 02:49,2026-02-07 05:35,Sim,Correção de identificação,Aeroporto / fiel depositário,Não controlável
INC00151,CGO00385,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-01-27 22:12,2026-01-28 00:45,Sim,Retorno para conferência,Companhia aérea,Não controlável
INC00152,CGO00386,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-27 21:02,2026-01-28 02:18,Não,,Causa mista,Parcialmente controlável
INC00153,CGO00389,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-01-27 21:27,2026-01-27 23:10,Sim,Repesagem,Companhia aérea,Não controlável
INC00154,CGO00393,AWB divergente,Ocorrência simulada: AWB divergente,2026-01-27 21:27,2026-01-28 00:10,Sim,Retorno para conferência,Causa mista,Controlável
INC00155,CGO00394,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-01-27 20:03,2026-01-28 01:37,Não,,Órgão anuente,Não controlável
INC00156,CGO00394,Violação,Ocorrência simulada: Violação,2026-01-27 20:03,2026-01-27 22:46,Sim,Tratamento de DSIC,Aeroporto / fiel depositário,Parcialmente controlável
INC00157,CGO00399,Indício de furto,Ocorrência simulada: Indício de furto,2026-01-30 08:54,2026-01-30 10:31,Não,,Aeroporto / fiel depositário,Parcialmente controlável
INC00158,CGO00402,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-01-30 07:28,2026-01-30 11:00,Não,,Causa mista,Não controlável
INC00159,CGO00403,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-01-30 08:53,2026-01-30 13:52,Não,,Companhia aérea,Não controlável
INC00160,CGO00404,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-01-30 06:35,2026-01-30 12:26,Não,,Companhia aérea,Não controlável
INC00161,CGO00410,Avaria,Ocorrência simulada: Avaria,2026-03-22 22:47,2026-03-23 03:07,Sim,Retorno para conferência,Aeroporto / fiel depositário,Não controlável
INC00162,CGO00411,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-23 00:29,2026-03-23 03:34,Sim,Tratamento de DSIC,Aeroporto / fiel depositário,Não controlável
INC00163,CGO00415,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-22 22:25,2026-03-23 03:08,Sim,Retorno para conferência,Transportadora / cliente,Parcialmente controlável
INC00164,CGO00418,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-06 17:44,2026-03-06 20:30,Não,,Causa mista,Controlável
INC00165,CGO00419,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-06 17:28,2026-03-06 21:44,Não,,Causa mista,Não controlável
INC00166,CGO00420,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-06 17:18,2026-03-06 20:52,Sim,Repesagem,Importador / despachante,Não controlável
