cargo_id,flight_id,awb_number,cargo_type,declared_pieces,received_pieces,declared_weight_kg,received_weight_kg,special_handling_flag,dangerous_goods_flag
CGO00027,FLT0004,225-33607110,Avariada,67,67,1172.08,1172.08,Sim,Não
CGO00028,FLT0004,628-77750178,Geral,71,71,1125.87,1125.87,Não,Não
CGO00029,FLT0004,083-28572252,Geral,50,50,1741,1741,Não,Não
CGO00030,FLT0004,789-88393811,Pendente,3,3,2144.7,2144.7,Sim,Não
CGO00031,FLT0004,766-83300637,Valiosa,29,29,1230.81,1230.81,Sim,Não
CGO00032,FLT0004,638-81688860,Geral,51,51,1487.89,1487.89,Não,Não
CGO00033,FLT0004,780-60885459,Geral,54,54,645.63,645.63,Não,Não
CGO00034,FLT0004,172-91321540,Refrigerada,15,15,1948.92,1948.92,Sim,Não
CGO00035,FLT0004,816-85958181,Valiosa,45,45,1341.21,1341.21,Sim,Não
CGO00036,FLT0004,277-92666356,Avariada,69,69,1941.11,1941.11,Sim,Não
CGO00037,FLT0005,218-57623800,Valiosa,44,44,713.55,713.55,Sim,Não
CGO00038,FLT0005,247-73900135,Refrigerada,63,63,1131.47,1131.47,Sim,Não
CGO00039,FLT0005,739-35848226,Geral,69,69,2378.18,2378.18,Não,Não
CGO00040,FLT0005,103-36054020,Geral,47,47,465.02,465.02,Não,Não
CGO00041,FLT0005,491-69118721,Geral,7,7,646.15,646.15,Não,Não
CGO00042,FLT0005,232-80138498,Geral,57,57,757.44,757.44,Não,Não
CGO00043,FLT0005,609-73070585,Geral,30,30,734.5,734.5,Não,Não
CGO00044,FLT0005,558-40173413,Refrigerada,35,35,2070.05,2070.05,Sim,Não
CGO00045,FLT0005,753-53261270,Refrigerada,4,4,246.49,246.49,Sim,Não
CGO00046,FLT0005,600-68503492,Refrigerada,63,63,2423.26,2423.26,Sim,Não
CGO00047,FLT0005,886-79067939,Avariada,1,1,1651,1651,Sim,Não
CGO00048,FLT0005,563-27584297,Pendente,57,57,2204.5,2204.5,Sim,Não
CGO00049,FLT0006,484-42713008,Perecível,19,19,971.29,971.29,Sim,Não
CGO00050,FLT0006,290-50071487,Avariada,75,75,2497.28,2497.28,Sim,Não
CGO00051,FLT0006,891-35320492,Pendente,31,31,1438.06,1438.06,Sim,Não
CGO00052,FLT0006,156-76481885,Pendente,17,17,1265.68,1265.68,Sim,Não
CGO00053,FLT0006,159-20043277,Perecível,34,34,859.63,859.63,Sim,Não
CGO00054,FLT0006,894-82613940,Geral,9,9,602.23,602.23,Não,Não
CGO00055,FLT0006,171-50193656,Pendente,6,6,824.45,824.45,Sim,Não
CGO00056,FLT0006,261-71682508,Geral,2,2,2249.29,2249.29,Não,Não
CGO00057,FLT0006,707-43567615,Perecível,39,39,514.06,514.06,Sim,Não
CGO00058,FLT0006,282-11086890,Refrigerada,7,7,2278.33,2278.33,Sim,Não
CGO00059,FLT0006,859-28358198,Refrigerada,6,6,786.15,786.15,Sim,Não
CGO00060,FLT0006,991-49613214,DGR,44,44,2014.5,2014.5,Sim,Sim
CGO00061,FLT0007,692-41383044,Perecível,80,80,2212.9,2212.9,Sim,Não
CGO00062,FLT0007,047-14994527,Geral,64,64,307.98,307.98,Não,Não
CGO00063,FLT0007,425-97902129,Geral,63,63,1546.82,1546.82,Não,Não
CGO00064,FLT0007,558-96547189,Geral,51,51,704.19,704.19,Não,Não
CGO00065,FLT0007,806-85776373,Geral,71,71,533.75,533.75,Não,Não
CGO00066,FLT0007,554-43642236,Valiosa,15,17,1659.42,1659.42,Sim,Não
CGO00067,FLT0008,623-29909029,Geral,36,36,1568.31,1568.31,Não,Não
CGO00068,FLT0008,118-97874085,Refrigerada,71,71,1807.68,1807.68,Sim,Não
CGO00069,FLT0008,384-30486849,DGR,61,61,186.49,186.49,Sim,Sim
CGO00070,FLT0008,421-57459130,Avariada,55,55,2172.87,2172.87,Sim,Não
CGO00071,FLT0008,866-85291541,Pendente,80,80,1541.66,1541.66,Sim,Não
CGO00072,FLT0008,996-14114726,Geral,68,68,553.53,553.53,Não,Não
CGO00073,FLT0008,773-92924837,Geral,11,11,694.82,694.82,Não,Não
CGO00074,FLT0008,695-89609131,Perecível,40,40,132.64,132.64,Sim,Não
CGO00075,FLT0008,008-76757928,DGR,23,23,340.38,340.38,Sim,Sim
CGO00076,FLT0008,944-20450542,Avariada,74,74,1084.63,1084.63,Sim,Não
CGO00077,FLT0009,406-51644346,DGR,29,29,846.01,850.15,Sim,Sim
CGO00078,FLT0009,779-87774890,Geral,73,73,1614.62,1614.62,Não,Não
CGO00079,FLT0009,058-57236885,Perecível,40,40,1165.12,1165.12,Sim,Não
CGO00080,FLT0009,462-23891786,Avariada,44,44,2456.32,2357.18,Sim,Não
CGO00081,FLT0009,291-43822301,DGR,78,78,2185.73,2185.73,Sim,Sim
CGO00082,FLT0009,386-96368203,Valiosa,17,17,1681.89,1681.89,Sim,Não
CGO00083,FLT0010,520-82446804,Avariada,68,68,113.61,113.61,Sim,Não
CGO00084,FLT0010,925-32218290,DGR,6,6,1038.93,1038.93,Sim,Sim
CGO00085,FLT0010,926-36040410,Geral,74,74,2461.41,2461.41,Não,Não
CGO00086,FLT0010,257-17003454,Refrigerada,48,48,1395.26,1347.28,Sim,Não
CGO00087,FLT0010,084-60319927,Geral,41,41,2328.45,2328.45,Não,Não
CGO00088,FLT0010,745-91722503,Perecível,15,15,1944.91,1944.91,Sim,Não
CGO00089,FLT0011,362-42287985,Refrigerada,24,24,1667.64,1788.62,Sim,Não
CGO00090,FLT0011,791-88101741,DGR,43,43,350.86,350.86,Sim,Sim
CGO00091,FLT0011,038-49385195,Geral,26,26,2216.76,2216.76,Não,Não
CGO00092,FLT0011,800-16416148,Avariada,43,43,697.58,697.58,Sim,Não
CGO00093,FLT0011,377-79696025,Geral,11,13,1823.16,1823.16,Não,Não
CGO00094,FLT0011,362-92523968,Pendente,36,36,1605.88,1605.88,Sim,Não
CGO00095,FLT0011,147-91547054,DGR,57,57,106.3,106.3,Sim,Sim
CGO00096,FLT0011,256-25226815,Geral,24,24,1257.63,1257.63,Não,Não
CGO00097,FLT0011,503-36867482,Geral,10,10,1141.07,1141.07,Não,Não
CGO00098,FLT0011,162-95590648,Geral,47,45,1281.71,1281.71,Não,Não
CGO00099,FLT0011,076-26821075,Pendente,10,10,1135.94,1135.94,Sim,Não
CGO00100,FLT0011,890-17437386,Avariada,67,67,399.48,399.48,Sim,Não
CGO00101,FLT0011,158-32978158,Refrigerada,78,78,857.3,857.3,Sim,Não
CGO00102,FLT0011,032-76845536,Pendente,70,70,738.39,738.39,Sim,Não
CGO00103,FLT0012,779-59733063,Perecível,14,14,811.41,811.41,Sim,Não
CGO00104,FLT0012,479-76942394,Avariada,64,64,77.48,77.48,Sim,Não
CGO00105,FLT0012,670-73161098,Geral,2,2,2120.99,2120.99,Não,Não
CGO00106,FLT0012,296-19869264,Geral,58,58,1915.72,1915.72,Não,Não
CGO00107,FLT0012,375-29363237,Geral,66,66,1015.44,1015.44,Não,Não
CGO00108,FLT0012,726-85554415,Geral,3,3,933.53,933.53,Não,Não
CGO00109,FLT0012,718-24749927,Geral,57,57,797.96,797.96,Não,Não
CGO00110,FLT0013,306-40181142,Pendente,39,39,1932.51,1932.51,Sim,Não
CGO00111,FLT0013,918-62953249,Avariada,19,19,740.32,740.32,Sim,Não
CGO00112,FLT0013,576-46456416,Geral,79,79,1857.41,1857.41,Não,Não
CGO00113,FLT0013,790-28450513,Geral,71,71,2445.22,2445.22,Não,Não
CGO00114,FLT0013,857-63283709,Valiosa,24,24,2342.79,2342.79,Sim,Não
CGO00115,FLT0013,657-82920556,Perecível,18,18,2130.63,2130.63,Sim,Não
CGO00116,FLT0013,582-35925669,Geral,52,52,2070.93,2070.93,Não,Não
CGO00117,FLT0013,242-69959826,Valiosa,43,43,768.83,768.83,Sim,Não
CGO00118,FLT0013,703-77447155,Pendente,40,40,1731.92,1731.92,Sim,Não
CGO00119,FLT0013,383-65813853,DGR,61,61,1898.23,1898.23,Sim,Sim
CGO00120,FLT0013,115-18289024,Avariada,65,65,521.35,521.35,Sim,Não
CGO00121,FLT0013,457-17467311,Perecível,66,66,1050.25,1050.25,Sim,Não
CGO00122,FLT0013,047-66867700,Geral,9,9,1362.09,1362.09,Não,Não
CGO00123,FLT0014,746-39888974,Avariada,3,3,2446.66,2446.66,Sim,Não
CGO00124,FLT0014,960-25145751,Geral,54,54,1545.01,1545.01,Não,Não
CGO00125,FLT0014,750-87324220,Geral,77,77,1935.89,1935.89,Não,Não
CGO00126,FLT0014,901-33505978,Refrigerada,55,55,1398.51,1398.51,Sim,Não
CGO00127,FLT0014,937-17734153,Refrigerada,54,53,1402.07,1402.07,Sim,Não
CGO00128,FLT0014,217-35504548,Pendente,16,16,1872.26,1872.26,Sim,Não
CGO00129,FLT0014,547-97069904,Geral,34,34,911.92,911.92,Não,Não
CGO00130,FLT0015,236-60981231,Refrigerada,32,32,1258.27,1258.27,Sim,Não
CGO00131,FLT0015,738-83356206,Perecível,70,70,2476,2476,Sim,Não
CGO00132,FLT0015,725-30270856,Geral,65,65,1150.9,1150.9,Não,Não
CGO00133,FLT0015,963-34060788,Geral,13,13,1320.48,1320.48,Não,Não
CGO00134,FLT0015,250-40314047,Geral,11,11,1641.26,1641.26,Não,Não
CGO00135,FLT0015,085-77089857,Avariada,43,43,1423.32,1423.32,Sim,Não
CGO00136,FLT0015,921-82884346,Refrigerada,5,5,464.8,464.8,Sim,Não
CGO00137,FLT0015,870-62231715,DGR,70,70,842.69,842.69,Sim,Sim
CGO00138,FLT0015,697-88634827,Refrigerada,11,11,1934.98,1934.98,Sim,Não
CGO00139,FLT0015,966-51374957,Geral,35,35,273.53,273.53,Não,Não
CGO00140,FLT0016,432-50232066,Perecível,10,10,915.59,915.59,Sim,Não
CGO00141,FLT0016,636-60987966,Avariada,43,43,1111.75,1111.75,Sim,Não
CGO00142,FLT0016,327-49117508,DGR,63,63,2420.05,2420.05,Sim,Sim
CGO00143,FLT0016,028-71957885,Pendente,27,27,1107.37,1107.37,Sim,Não
CGO00144,FLT0016,733-66791272,Valiosa,10,10,1133.69,1133.69,Sim,Não
CGO00145,FLT0016,917-82062301,Refrigerada,11,11,291.24,291.24,Sim,Não
CGO00146,FLT0016,989-67774765,Geral,13,13,661.67,661.67,Não,Não
CGO00147,FLT0016,513-30232642,Geral,4,4,1217.27,1217.27,Não,Não
CGO00148,FLT0016,488-23102741,Geral,58,58,810.9,810.9,Não,Não
CGO00149,FLT0017,191-95963619,Refrigerada,51,51,92.4,92.4,Sim,Não
CGO00150,FLT0017,819-82060023,Geral,42,42,508.74,508.74,Não,Não
CGO00151,FLT0017,321-25819123,Geral,15,15,473.95,473.95,Não,Não
CGO00152,FLT0017,975-11286267,Perecível,25,25,2041.74,2041.74,Sim,Não
CGO00153,FLT0017,300-14388260,Geral,69,69,735.9,735.9,Não,Não
CGO00154,FLT0017,603-57060874,Avariada,79,77,1589.27,1589.27,Sim,Não
CGO00155,FLT0017,284-98032908,Geral,17,17,639.2,639.2,Não,Não
CGO00156,FLT0018,749-71532017,Refrigerada,46,46,2128.26,2128.26,Sim,Não
CGO00157,FLT0018,497-56135950,Pendente,7,7,133.94,133.94,Sim,Não
CGO00158,FLT0018,932-27705074,Pendente,39,39,414.26,414.26,Sim,Não
CGO00159,FLT0018,744-41426254,Geral,12,14,1765.17,1765.17,Não,Não
CGO00160,FLT0018,694-29173414,Geral,73,73,41.02,41.02,Não,Não
CGO00161,FLT0018,223-21635070,Pendente,18,18,1886.07,1886.07,Sim,Não
CGO00162,FLT0019,662-17324144,Valiosa,31,31,1247.32,1247.32,Sim,Não
CGO00163,FLT0019,945-18115992,Pendente,51,51,1276.39,1276.39,Sim,Não
CGO00164,FLT0019,666-96322745,Geral,56,56,1830.3,1830.3,Não,Não
CGO00165,FLT0019,843-44795538,Geral,17,17,1879.45,1879.45,Não,Não
CGO00166,FLT0019,591-94226031,Geral,59,58,1286.74,1286.74,Não,Não
CGO00167,FLT0019,184-14746418,Refrigerada,54,54,576.8,576.8,Sim,Não
CGO00168,FLT0019,048-63811222,Geral,60,60,2167.76,2167.76,Não,Não
CGO00169,FLT0019,638-42559072,Perecível,76,76,2430.21,2430.21,Sim,Não
CGO00170,FLT0019,355-95354668,Avariada,2,2,2378.46,2378.46,Sim,Não
CGO00171,FLT0020,653-62928934,Geral,73,73,174.46,174.46,Não,Não
CGO00172,FLT0020,279-41354768,Geral,26,26,357.56,357.56,Não,Não
CGO00173,FLT0020,213-70655283,Geral,34,34,2134.16,2134.16,Não,Não
CGO00174,FLT0020,840-33336132,Geral,52,52,2139.41,2139.41,Não,Não
CGO00175,FLT0020,266-20064609,Geral,9,9,510.42,510.42,Não,Não
CGO00176,FLT0020,905-29948970,Geral,80,80,1550.1,1550.1,Não,Não
CGO00177,FLT0020,497-56175477,Pendente,65,65,817.58,817.58,Sim,Não
CGO00178,FLT0021,607-52681823,Avariada,46,46,2286.67,2286.67,Sim,Não
CGO00179,FLT0021,001-54524582,Pendente,26,26,2019.98,2019.98,Sim,Não
CGO00180,FLT0021,984-19735027,Geral,51,51,1473.32,1473.32,Não,Não
CGO00181,FLT0021,711-92370625,Valiosa,29,29,1670.52,1670.52,Sim,Não
CGO00182,FLT0021,244-56548066,Pendente,22,22,1597.74,1597.74,Sim,Não
CGO00183,FLT0021,738-10171954,Geral,57,57,1836.81,1836.81,Não,Não
CGO00184,FLT0021,777-40277201,Geral,10,10,2002,2002,Não,Não
CGO00185,FLT0021,722-14159837,Geral,22,22,1526.15,1526.15,Não,Não
CGO00186,FLT0022,056-58429638,Geral,12,12,750.48,750.48,Não,Não
CGO00187,FLT0022,397-34814337,Geral,49,49,936.12,936.12,Não,Não
CGO00188,FLT0022,100-21503440,Refrigerada,70,70,1046.69,1046.69,Sim,Não
CGO00189,FLT0022,242-73922841,Geral,51,51,2258.89,2258.89,Não,Não
CGO00190,FLT0022,172-38439415,Avariada,17,20,125.84,125.84,Sim,Não
CGO00191,FLT0022,639-88863127,Perecível,54,54,299.05,299.05,Sim,Não
CGO00192,FLT0022,283-64086249,Geral,78,78,1708.42,1708.42,Não,Não
CGO00193,FLT0023,759-75023164,Valiosa,48,48,2056.12,2056.12,Sim,Não
CGO00194,FLT0023,853-36941091,Avariada,32,31,102.02,102.02,Sim,Não
CGO00195,FLT0023,916-44716747,DGR,12,12,726.97,726.97,Sim,Sim
CGO00196,FLT0023,886-11194267,Perecível,17,17,1625.48,1625.48,Sim,Não
CGO00197,FLT0023,873-56802956,Perecível,28,28,1177.41,1177.41,Sim,Não
CGO00198,FLT0023,268-98062882,DGR,39,39,487.13,487.13,Sim,Sim
CGO00199,FLT0023,266-66178935,Geral,5,5,1465.9,1465.9,Não,Não
CGO00200,FLT0023,866-32815223,Avariada,72,72,469.22,469.22,Sim,Não
CGO00201,FLT0023,267-88593968,Geral,16,16,1186.93,1186.93,Não,Não
CGO00202,FLT0023,306-65446317,Geral,20,20,360.67,360.67,Não,Não
CGO00203,FLT0023,182-52065724,Refrigerada,1,1,1141.09,1141.09,Sim,Não
CGO00204,FLT0024,196-12404661,DGR,32,32,581.14,581.14,Sim,Sim
CGO00205,FLT0024,467-79831928,Refrigerada,44,44,1095.49,1095.49,Sim,Não
CGO00206,FLT0024,230-27610141,Geral,3,3,1482.44,1482.44,Não,Não
CGO00207,FLT0024,561-43921959,Perecível,20,20,529.63,529.63,Sim,Não
CGO00208,FLT0024,510-36661903,Refrigerada,34,34,2082.12,2082.12,Sim,Não
CGO00209,FLT0024,799-78679929,Geral,13,13,2263.85,2263.85,Não,Não
CGO00210,FLT0024,367-68749047,Pendente,35,32,2198.62,2198.62,Sim,Não
CGO00211,FLT0024,695-68809216,Geral,49,49,1952.33,1952.33,Não,Não
CGO00212,FLT0024,979-99904987,Avariada,67,67,1317.3,1317.3,Sim,Não
CGO00213,FLT0024,628-17323740,Geral,21,21,1273.81,1273.81,Não,Não
CGO00214,FLT0024,659-60819877,Geral,31,31,215.5,215.5,Não,Não
CGO00215,FLT0024,423-14809280,Refrigerada,1,1,2068.25,2068.25,Sim,Não
CGO00216,FLT0024,865-70996586,Geral,80,80,1507.88,1507.88,Não,Não
CGO00217,FLT0025,110-44130133,Refrigerada,25,25,319.45,319.45,Sim,Não
CGO00218,FLT0025,127-70465703,Perecível,76,76,2391.35,2391.35,Sim,Não
CGO00219,FLT0025,429-91737749,Pendente,32,32,698.52,698.52,Sim,Não
CGO00220,FLT0025,999-33865616,Perecível,42,42,1781.67,1781.67,Sim,Não
CGO00221,FLT0025,828-11714029,Perecível,4,4,964.56,964.56,Sim,Não
CGO00222,FLT0025,576-40106027,DGR,72,72,984.44,984.44,Sim,Sim
CGO00223,FLT0025,774-88971743,Perecível,78,78,507.24,507.24,Sim,Não
CGO00224,FLT0025,042-67513345,Geral,34,34,342.56,342.56,Não,Não
CGO00225,FLT0025,793-93935292,Refrigerada,39,39,1236.57,1236.57,Sim,Não
CGO00226,FLT0025,550-64145722,Geral,29,29,2210.82,2210.82,Não,Não
CGO00227,FLT0025,665-11181612,Geral,45,45,1125.25,1125.25,Não,Não
CGO00228,FLT0026,304-97446634,Geral,66,66,224.22,224.22,Não,Não
CGO00229,FLT0026,183-43810519,Refrigerada,74,74,2057.62,2057.62,Sim,Não
CGO00230,FLT0026,065-88598977,Geral,10,10,907.1,907.1,Não,Não
CGO00231,FLT0026,547-39509878,Geral,51,51,1995.99,1995.99,Não,Não
CGO00232,FLT0026,006-86868988,Refrigerada,69,69,1377.86,1377.86,Sim,Não
CGO00233,FLT0027,499-54406060,Geral,31,31,268.11,268.11,Não,Não
CGO00234,FLT0027,828-52457517,Pendente,22,22,31.98,31.98,Sim,Não
CGO00235,FLT0027,880-28790705,Pendente,26,26,672.82,672.82,Sim,Não
CGO00236,FLT0027,038-84033693,Geral,70,70,1190.82,1190.82,Não,Não
CGO00237,FLT0027,515-11421591,Refrigerada,79,79,1716.72,1716.72,Sim,Não
CGO00238,FLT0027,368-15425057,Geral,63,63,594.74,594.74,Não,Não
CGO00239,FLT0027,041-97043518,Geral,67,67,1591.25,1591.25,Não,Não
CGO00240,FLT0027,856-20447168,Perecível,49,49,2432.23,2432.23,Sim,Não
CGO00241,FLT0027,236-20346606,Perecível,36,36,544.56,544.56,Sim,Não
CGO00242,FLT0027,491-38280205,Refrigerada,53,51,75.67,75.67,Sim,Não
CGO00243,FLT0027,222-70291054,Refrigerada,61,61,2170.91,2170.91,Sim,Não
CGO00244,FLT0027,881-77693989,DGR,20,20,1521.67,1521.67,Sim,Sim
CGO00245,FLT0027,824-87325627,Geral,18,18,651.2,651.2,Não,Não
CGO00246,FLT0027,121-79761254,Geral,27,27,1725.66,1725.66,Não,Não
CGO00247,FLT0028,573-84478941,Perecível,40,40,1452.57,1452.57,Sim,Não
CGO00248,FLT0028,844-29505652,Perecível,77,77,1099.74,1118.92,Sim,Não
CGO00249,FLT0028,238-92569402,Geral,5,5,912.16,912.16,Não,Não
CGO00250,FLT0028,942-22101856,Perecível,72,72,2289.22,2289.22,Sim,Não
CGO00251,FLT0028,573-19715480,Perecível,44,44,2368.6,2368.6,Sim,Não
CGO00252,FLT0028,985-71585593,DGR,76,76,2157.82,2157.82,Sim,Sim
CGO00253,FLT0028,529-81893982,Geral,34,34,635.68,635.68,Não,Não
CGO00254,FLT0028,212-40763714,Geral,32,32,2094.11,2094.11,Não,Não
CGO00255,FLT0028,044-74732147,Geral,41,41,1241,1241,Não,Não
CGO00256,FLT0028,056-80563016,Valiosa,62,62,2350.34,2350.34,Sim,Não
CGO00257,FLT0029,511-66900650,Geral,48,48,925.39,925.39,Não,Não
CGO00258,FLT0029,569-68011418,Avariada,26,26,381.69,381.69,Sim,Não
CGO00259,FLT0029,547-52376193,Valiosa,39,39,642.42,642.42,Sim,Não
CGO00260,FLT0029,353-12662253,Geral,45,45,2171.07,2171.07,Não,Não
CGO00261,FLT0029,523-75430302,Valiosa,58,58,2226.29,2226.29,Sim,Não
CGO00262,FLT0029,929-19575640,Geral,44,44,585.98,585.98,Não,Não
CGO00263,FLT0029,534-70436720,Geral,24,24,2138.45,2138.45,Não,Não
CGO00264,FLT0030,254-48141360,Geral,17,17,345.57,345.57,Não,Não
CGO00265,FLT0030,958-46562845,Perecível,18,18,2424.46,2424.46,Sim,Não
CGO00266,FLT0030,494-82433029,Geral,12,12,1115.81,1115.81,Não,Não
CGO00267,FLT0030,816-10968781,Perecível,25,25,1041.1,1041.1,Sim,Não
CGO00268,FLT0030,820-92304487,Avariada,35,35,726,726,Sim,Não
CGO00269,FLT0030,718-93584597,Perecível,42,39,68.1,68.1,Sim,Não
CGO00270,FLT0030,811-14259684,Geral,19,19,158.98,158.98,Não,Não
CGO00271,FLT0030,787-43415162,Geral,57,57,632.96,632.96,Não,Não
CGO00272,FLT0031,370-16991067,Avariada,28,28,2433.72,2433.72,Sim,Não
CGO00273,FLT0031,596-73789750,DGR,20,20,941.07,969.07,Sim,Sim
CGO00274,FLT0031,138-43647879,Pendente,63,63,1772.43,1772.43,Sim,Não
CGO00275,FLT0031,614-84426456,Geral,68,68,404.46,404.46,Não,Não
CGO00276,FLT0031,397-35483846,Perecível,64,64,1919.02,1919.02,Sim,Não
CGO00277,FLT0031,674-75754558,Perecível,76,76,654.73,654.73,Sim,Não
CGO00278,FLT0031,842-59535555,Valiosa,8,8,2062.63,2062.63,Sim,Não
CGO00279,FLT0031,572-65725133,DGR,74,74,907.75,907.75,Sim,Sim
CGO00280,FLT0032,247-85584002,Perecível,49,49,1918.96,1918.96,Sim,Não
CGO00281,FLT0032,912-50512501,Geral,29,29,552.76,552.76,Não,Não
CGO00282,FLT0032,142-45566111,Geral,75,75,639.65,639.65,Não,Não
CGO00283,FLT0032,178-75535348,Avariada,74,74,2052.4,2128.19,Sim,Não
CGO00284,FLT0032,650-94851591,Geral,40,40,1320.47,1320.47,Não,Não
CGO00285,FLT0032,457-89877290,Refrigerada,12,12,570.77,570.77,Sim,Não
CGO00286,FLT0032,631-80363346,Geral,10,10,680.32,680.32,Não,Não
CGO00287,FLT0032,672-13248985,Valiosa,22,22,2469.38,2469.38,Sim,Não
CGO00288,FLT0032,313-70406241,Perecível,43,43,538.34,538.34,Sim,Não
CGO00289,FLT0032,045-44286770,Geral,37,37,517.73,517.73,Não,Não
CGO00290,FLT0032,676-58347794,Avariada,3,3,745.39,745.39,Sim,Não
CGO00291,FLT0032,091-35020518,Geral,59,59,1410.51,1410.51,Não,Não
CGO00292,FLT0032,364-93917080,Geral,65,65,704.18,704.18,Não,Não
CGO00293,FLT0032,233-66013532,Geral,20,20,1077.63,1077.63,Não,Não
CGO00294,FLT0033,784-52773504,Pendente,53,53,2403.77,2403.77,Sim,Não
CGO00295,FLT0033,489-27996802,Perecível,78,78,1182.53,1182.53,Sim,Não
CGO00296,FLT0033,502-53606752,Avariada,32,32,1080.34,1080.34,Sim,Não
CGO00297,FLT0033,806-15168989,Perecível,58,58,1153.11,1153.11,Sim,Não
CGO00298,FLT0033,451-63424009,Pendente,37,37,1164.14,1164.14,Sim,Não
CGO00299,FLT0034,026-34008676,Perecível,26,26,2208.72,2208.72,Sim,Não
CGO00300,FLT0034,317-69895766,Geral,24,24,311.53,311.53,Não,Não
CGO00301,FLT0034,082-90693921,Refrigerada,32,32,2207.78,2207.78,Sim,Não
CGO00302,FLT0034,166-48168910,Refrigerada,77,77,1439.26,1439.26,Sim,Não
CGO00303,FLT0034,215-38058347,Refrigerada,14,14,1436.99,1436.99,Sim,Não
CGO00304,FLT0034,639-57493391,Pendente,79,79,1415.33,1415.33,Sim,Não
CGO00305,FLT0034,477-93947919,Valiosa,27,27,2002.92,2002.92,Sim,Não
CGO00306,FLT0034,070-51308532,Geral,71,71,823.33,823.33,Não,Não
CGO00307,FLT0034,160-94181424,Perecível,69,69,2241.9,2241.9,Sim,Não
CGO00308,FLT0034,939-57458790,Geral,20,20,715.54,715.54,Não,Não
CGO00309,FLT0034,850-50618137,Geral,39,39,454.03,454.03,Não,Não
CGO00310,FLT0034,496-80280155,Geral,42,42,375.37,375.37,Não,Não
CGO00311,FLT0035,206-35843038,Geral,69,69,811.49,811.49,Não,Não
CGO00312,FLT0035,556-57018904,Perecível,35,35,371.06,371.06,Sim,Não
CGO00313,FLT0035,913-89558393,Refrigerada,58,58,1548.46,1548.46,Sim,Não
CGO00314,FLT0035,318-96492401,DGR,60,60,1186.95,1186.95,Sim,Sim
CGO00315,FLT0035,067-73798298,Geral,62,62,1163.88,1163.88,Não,Não
CGO00316,FLT0035,562-31343341,Pendente,50,50,183.83,183.83,Sim,Não
CGO00317,FLT0035,080-87066247,Avariada,15,15,1488.56,1488.56,Sim,Não
CGO00318,FLT0035,790-60856575,Geral,8,8,244.52,244.52,Não,Não
CGO00319,FLT0035,201-37603443,DGR,41,41,763.34,763.34,Sim,Sim
CGO00320,FLT0035,064-59556257,Pendente,7,7,22.09,22.09,Sim,Não
CGO00321,FLT0036,569-61619474,Avariada,47,47,2103.11,2103.11,Sim,Não
CGO00322,FLT0036,916-91125155,Pendente,80,80,465.9,465.9,Sim,Não
CGO00323,FLT0036,243-77340900,Geral,70,70,1449.35,1449.35,Não,Não
CGO00324,FLT0036,091-42914388,Perecível,10,10,1716.5,1716.5,Sim,Não
CGO00325,FLT0036,588-54495054,Geral,38,38,737.24,737.24,Não,Não
