flight_id,airline,flight_number,origin_airport,aircraft_arrival_datetime,mantra_closure_datetime,legal_deadline_hours,legal_deadline_datetime,closure_compliance_status,operation_shift
FLT0032,DHL Aviation,FX6299,JFK,2026-02-10 23:30,2026-02-11 09:59,12,2026-02-11 11:30,Dentro do prazo,Noite
FLT0033,Azul Cargo,D03384,SCL,2026-02-10 08:50,2026-02-10 20:25,12,2026-02-10 20:50,Dentro do prazo,Manhã
FLT0034,GOLLOG,FX6299,JFK,2026-03-17 04:50,2026-03-17 17:43,12,2026-03-17 16:50,Próximo ao limite,Madrugada
FLT0035,Atlas Air,5Y4438,MIA,2026-03-01 07:05,2026-03-01 20:10,12,2026-03-01 19:05,Próximo ao limite,Manhã
FLT0036,Avianca Cargo,QT3278,SCL,2026-02-21 18:40,2026-02-22 09:48,12,2026-02-22 06:40,Fora do prazo,Noite
FLT0037,Azul Cargo,D08074,FRA,2026-02-10 22:00,2026-02-11 12:05,12,2026-02-11 10:00,Fora do prazo,Noite
FLT0038,TAMPA Cargo,5Y1869,LIM,2026-03-11 22:15,2026-03-12 13:38,12,2026-03-12 10:15,Fora do prazo,Noite
FLT0039,DHL Aviation,LA6989,MAD,2026-01-07 09:40,2026-01-07 19:12,12,2026-01-07 21:40,Dentro do prazo,Manhã
FLT0040,TAMPA Cargo,AD4533,FRA,2026-02-14 17:20,2026-02-15 04:18,12,2026-02-15 05:20,Dentro do prazo,Tarde
FLT0041,Azul Cargo,QT2895,MEX,2026-02-06 23:00,2026-02-07 12:27,12,2026-02-07 11:00,Próximo ao limite,Noite
FLT0042,Atlas Air,5Y8092,FRA,2026-01-27 17:05,2026-01-28 04:48,12,2026-01-28 05:05,Dentro do prazo,Tarde
FLT0043,Avianca Cargo,5Y9096,PTY,2026-01-30 04:15,2026-01-30 17:27,12,2026-01-30 16:15,Próximo ao limite,Madrugada
FLT0044,LATAM Cargo,D08594,FRA,2026-03-22 19:05,2026-03-23 06:49,12,2026-03-23 07:05,Dentro do prazo,Noite
FLT0045,DHL Aviation,QT3148,AMS,2026-03-06 13:55,2026-03-07 03:50,12,2026-03-07 01:55,Próximo ao limite,Tarde
FLT0046,DHL Aviation,5Y3293,PTY,2026-03-11 01:15,2026-03-11 13:46,12,2026-03-11 13:15,Próximo ao limite,Madrugada
FLT0047,GOLLOG,FX8401,LIM,2026-01-19 17:50,2026-01-20 02:41,12,2026-01-20 05:50,Dentro do prazo,Tarde
FLT0048,Avianca Cargo,AV7489,MIA,2026-02-05 21:55,2026-02-06 06:48,12,2026-02-06 09:55,Dentro do prazo,Noite
FLT0049,LATAM Cargo,FX8605,MAD,2026-03-21 19:15,2026-03-22 02:04,12,2026-03-22 07:15,Dentro do prazo,Noite
FLT0050,TAMPA Cargo,D07125,SCL,2026-02-17 21:50,2026-02-18 10:40,12,2026-02-18 09:50,Próximo ao limite,Noite
FLT0051,Azul Cargo,AD2723,MEX,2026-03-05 19:50,2026-03-06 05:20,12,2026-03-06 07:50,Dentro do prazo,Noite
FLT0052,FedEx Express,FX3553,FRA,2026-01-22 21:45,2026-01-23 11:33,12,2026-01-23 09:45,Próximo ao limite,Noite
FLT0053,TAMPA Cargo,FX5814,BOG,2026-01-11 17:40,2026-01-12 06:33,12,2026-01-12 05:40,Próximo ao limite,Tarde
FLT0054,FedEx Express,AV5925,MIA,2026-02-16 23:10,2026-02-17 15:23,12,2026-02-17 11:10,Fora do prazo,Noite
FLT0055,FedEx Express,G35244,MAD,2026-03-10 23:55,2026-03-11 13:42,12,2026-03-11 11:55,Próximo ao limite,Noite
FLT0056,TAMPA Cargo,D01096,MIA,2026-03-07 07:45,2026-03-07 19:03,12,2026-03-07 19:45,Dentro do prazo,Manhã
FLT0057,DHL Aviation,AD9999,MEX,2026-01-02 02:30,2026-01-02 13:00,12,2026-01-02 14:30,Dentro do prazo,Madrugada
FLT0058,FedEx Express,G32481,PTY,2026-03-03 08:05,2026-03-03 15:09,12,2026-03-03 20:05,Dentro do prazo,Manhã
FLT0059,LATAM Cargo,5Y7523,MEX,2026-02-10 08:20,2026-02-10 23:52,12,2026-02-10 20:20,Fora do prazo,Manhã
FLT0060,Azul Cargo,FX2698,MIA,2026-01-13 08:05,2026-01-13 21:48,12,2026-01-13 20:05,Próximo ao limite,Manhã
FLT0061,Atlas Air,FX5808,AMS,2026-01-22 07:50,2026-01-22 19:29,12,2026-01-22 19:50,Dentro do prazo,Manhã
FLT0062,Avianca Cargo,G33401,FRA,2026-01-04 00:20,2026-01-04 11:35,12,2026-01-04 12:20,Dentro do prazo,Madrugada
FLT0063,FedEx Express,AD5280,JFK,2026-03-29 02:40,2026-03-29 15:24,12,2026-03-29 14:40,Próximo ao limite,Madrugada
FLT0064,Atlas Air,FX2117,PTY,2026-02-13 20:10,2026-02-14 06:45,12,2026-02-14 08:10,Dentro do prazo,Noite
FLT0065,TAMPA Cargo,AD2251,BOG,2026-01-18 01:40,2026-01-18 11:20,12,2026-01-18 13:40,Dentro do prazo,Madrugada
FLT0066,Avianca Cargo,5Y5217,MIA,2026-03-16 16:00,2026-03-17 06:02,12,2026-03-17 04:00,Fora do prazo,Tarde
FLT0067,DHL Aviation,AD6935,FRA,2026-02-22 17:05,2026-02-23 05:48,12,2026-02-23 05:05,Próximo ao limite,Tarde
FLT0068,DHL Aviation,G38925,JFK,2026-03-01 16:05,2026-03-02 04:02,12,2026-03-02 04:05,Dentro do prazo,Tarde
FLT0069,TAMPA Cargo,AD2001,MEX,2026-01-25 12:05,2026-01-26 01:26,12,2026-01-26 00:05,Próximo ao limite,Tarde
FLT0070,Azul Cargo,AV5230,FRA,2026-03-13 05:20,2026-03-13 16:18,12,2026-03-13 17:20,Dentro do prazo,Madrugada
FLT0071,FedEx Express,FX3469,SCL,2026-02-25 08:30,2026-02-25 22:32,12,2026-02-25 20:30,Fora do prazo,Manhã
FLT0072,FedEx Express,D09871,AMS,2026-03-19 20:55,2026-03-20 10:56,12,2026-03-20 08:55,Fora do prazo,Noite
FLT0073,Atlas Air,5Y1585,AMS,2026-02-26 16:45,2026-02-27 06:12,12,2026-02-27 04:45,Próximo ao limite,Tarde
FLT0074,Avianca Cargo,QT1008,AMS,2026-02-25 09:45,2026-02-25 23:52,12,2026-02-25 21:45,Fora do prazo,Manhã
FLT0075,FedEx Express,FX8968,JFK,2026-01-03 10:05,2026-01-03 22:24,12,2026-01-03 22:05,Próximo ao limite,Manhã
FLT0076,Avianca Cargo,FX3042,LIM,2026-02-27 20:40,2026-02-28 11:39,12,2026-02-28 08:40,Fora do prazo,Noite
FLT0077,Atlas Air,D07914,SCL,2026-02-08 16:45,2026-02-09 05:50,12,2026-02-09 04:45,Próximo ao limite,Tarde
FLT0078,DHL Aviation,5Y6843,JFK,2026-02-03 02:50,2026-02-03 17:15,12,2026-02-03 14:50,Fora do prazo,Madrugada
FLT0079,GOLLOG,D01260,SCL,2026-02-13 20:30,2026-02-14 08:17,12,2026-02-14 08:30,Dentro do prazo,Noite
FLT0080,DHL Aviation,G32044,MAD,2026-03-14 02:00,2026-03-14 16:06,12,2026-03-14 14:00,Fora do prazo,Madrugada
FLT0081,DHL Aviation,AV2616,MIA,2026-03-09 11:50,2026-03-09 22:28,12,2026-03-09 23:50,Dentro do prazo,Manhã
FLT0082,GOLLOG,FX3954,JFK,2026-01-28 16:50,2026-01-29 03:40,12,2026-01-29 04:50,Dentro do prazo,Tarde
FLT0083,LATAM Cargo,G39316,MAD,2026-01-24 21:20,2026-01-25 06:53,12,2026-01-25 09:20,Dentro do prazo,Noite
FLT0084,TAMPA Cargo,FX3618,JFK,2026-01-30 12:45,2026-01-30 23:15,12,2026-01-31 00:45,Dentro do prazo,Tarde
FLT0085,LATAM Cargo,AV9052,LIM,2026-01-06 12:55,2026-01-07 01:23,12,2026-01-07 00:55,Próximo ao limite,Tarde
FLT0086,Atlas Air,QT2036,MIA,2026-03-30 23:20,2026-03-31 11:57,12,2026-03-31 11:20,Próximo ao limite,Noite
FLT0087,Avianca Cargo,LA1509,MIA,2026-01-27 23:05,2026-01-28 13:41,12,2026-01-28 11:05,Fora do prazo,Noite
FLT0088,Atlas Air,LA5969,AMS,2026-01-02 09:50,2026-01-02 22:18,12,2026-01-02 21:50,Próximo ao limite,Manhã
FLT0089,DHL Aviation,D04349,FRA,2026-03-30 15:15,2026-03-31 03:01,12,2026-03-31 03:15,Dentro do prazo,Tarde
FLT0090,GOLLOG,AD8578,FRA,2026-01-09 09:20,2026-01-09 21:06,12,2026-01-09 21:20,Dentro do prazo,Manhã
FLT0091,LATAM Cargo,5Y5221,AMS,2026-03-06 05:40,2026-03-06 16:45,12,2026-03-06 17:40,Dentro do prazo,Madrugada
FLT0092,TAMPA Cargo,G31602,SCL,2026-02-11 12:15,2026-02-11 22:38,12,2026-02-12 00:15,Dentro do prazo,Tarde
FLT0093,Atlas Air,AV5163,MIA,2026-01-29 20:20,2026-01-30 09:48,12,2026-01-30 08:20,Próximo ao limite,Noite
FLT0094,GOLLOG,AD1065,BOG,2026-02-12 14:00,2026-02-13 01:33,12,2026-02-13 02:00,Dentro do prazo,Tarde
FLT0095,TAMPA Cargo,5Y8167,MAD,2026-01-26 03:15,2026-01-26 17:43,12,2026-01-26 15:15,Fora do prazo,Madrugada
FLT0096,FedEx Express,D02574,AMS,2026-02-05 00:15,2026-02-05 11:19,12,2026-02-05 12:15,Dentro do prazo,Madrugada
FLT0097,FedEx Express,AV3289,MAD,2026-01-18 11:00,2026-01-18 22:59,12,2026-01-18 23:00,Dentro do prazo,Manhã
FLT0098,FedEx Express,AD6072,LIM,2026-02-18 05:50,2026-02-18 19:17,12,2026-02-18 17:50,Próximo ao limite,Madrugada
FLT0099,Avianca Cargo,G32204,AMS,2026-01-25 11:10,2026-01-25 21:29,12,2026-01-25 23:10,Dentro do prazo,Manhã
FLT0100,GOLLOG,FX1897,JFK,2026-01-24 13:20,2026-01-24 21:56,12,2026-01-25 01:20,Dentro do prazo,Tarde
FLT0101,GOLLOG,FX2845,MIA,2026-03-28 09:05,2026-03-28 22:05,12,2026-03-28 21:05,Próximo ao limite,Manhã
FLT0102,Atlas Air,D09391,AMS,2026-03-06 15:10,2026-03-07 03:16,12,2026-03-07 03:10,Próximo ao limite,Tarde
FLT0103,GOLLOG,LA5451,MAD,2026-03-13 07:55,2026-03-13 20:04,12,2026-03-13 19:55,Próximo ao limite,Manhã
FLT0104,FedEx Express,G38201,MIA,2026-02-01 05:05,2026-02-01 17:58,12,2026-02-01 17:05,Próximo ao limite,Madrugada
FLT0105,Atlas Air,AV7354,PTY,2026-01-06 12:00,2026-01-07 01:05,12,2026-01-07 00:00,Próximo ao limite,Tarde
FLT0106,DHL Aviation,5Y3135,JFK,2026-03-12 16:50,2026-03-13 03:25,12,2026-03-13 04:50,Dentro do prazo,Tarde
FLT0107,Azul Cargo,LA6468,FRA,2026-03-05 06:15,2026-03-05 19:10,12,2026-03-05 18:15,Próximo ao limite,Manhã
FLT0108,TAMPA Cargo,5Y9326,MIA,2026-01-19 09:05,2026-01-19 17:54,12,2026-01-19 21:05,Dentro do prazo,Manhã
FLT0109,Atlas Air,AD8273,SCL,2026-02-04 20:50,2026-02-05 04:40,12,2026-02-05 08:50,Dentro do prazo,Noite
FLT0110,Atlas Air,FX7587,MIA,2026-01-05 12:20,2026-01-06 02:07,12,2026-01-06 00:20,Próximo ao limite,Tarde
FLT0111,LATAM Cargo,D07940,PTY,2026-02-25 14:10,2026-02-26 05:02,12,2026-02-26 02:10,Fora do prazo,Tarde
FLT0112,Azul Cargo,QT8768,JFK,2026-03-24 05:05,2026-03-24 20:03,12,2026-03-24 17:05,Fora do prazo,Madrugada
FLT0113,Avianca Cargo,LA2425,SCL,2026-02-28 18:00,2026-03-01 06:16,12,2026-03-01 06:00,Próximo ao limite,Noite
FLT0114,GOLLOG,AD1714,JFK,2026-03-26 08:30,2026-03-26 22:59,12,2026-03-26 20:30,Fora do prazo,Manhã
FLT0115,GOLLOG,LA6797,MAD,2026-02-27 04:15,2026-02-27 19:06,12,2026-02-27 16:15,Fora do prazo,Madrugada
FLT0116,Azul Cargo,D04215,JFK,2026-03-10 05:05,2026-03-10 12:33,12,2026-03-10 17:05,Dentro do prazo,Madrugada
FLT0117,TAMPA Cargo,FX4831,MIA,2026-02-17 19:40,2026-02-18 06:10,12,2026-02-18 07:40,Dentro do prazo,Noite
FLT0118,TAMPA Cargo,5Y6215,BOG,2026-01-11 17:50,2026-01-12 07:53,12,2026-01-12 05:50,Fora do prazo,Tarde
FLT0119,Avianca Cargo,FX2427,JFK,2026-02-15 13:10,2026-02-16 02:15,12,2026-02-16 01:10,Próximo ao limite,Tarde
FLT0120,FedEx Express,FX5878,MAD,2026-02-20 15:20,2026-02-21 02:43,12,2026-02-21 03:20,Dentro do prazo,Tarde
